tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
1346,2020-04-20 00:16:46.1430,2020-04-20 00:39:12.8240,385,E 55 St & 2 Ave,40.75797322,-73.96603308,469,Broadway & W 53 St,40.76344058,-73.98268129,38951,Subscriber,1983,1
2000,2020-04-20 00:16:49.3500,2020-04-20 00:50:09.4760,250,Lafayette St & Jersey St,40.72456089,-73.99565293,268,Howard St & Centre St,40.71910537,-73.99973337,39232,Subscriber,1995,1
229,2020-04-20 00:16:53.8570,2020-04-20 00:20:42.9310,3693,N 11 St & Kent Ave,40.72248188638219,-73.95921930670737,3105,N 15 St & Wythe Ave,40.724055,-73.955736,39034,Subscriber,1975,1
1340,2020-04-20 00:16:56.5400,2020-04-20 00:39:16.7030,385,E 55 St & 2 Ave,40.75797322,-73.96603308,469,Broadway & W 53 St,40.76344058,-73.98268129,31508,Subscriber,1985,2
1469,2020-04-20 00:16:57.0790,2020-04-20 00:41:26.2510,373,Willoughby Ave & Walworth St,40.69331716,-73.95381995,3905,4 Ave & E 12 St,40.732647,-73.99011,29355,Subscriber,1975,1
514,2020-04-20 00:17:48.4250,2020-04-20 00:26:22.8200,3687,E 33 St & 1 Ave,40.74322681432173,-73.97449783980845,402,Broadway & E 22 St,40.740343200000005,-73.98955109,32779,Subscriber,1978,2
1125,2020-04-20 00:17:54.4150,2020-04-20 00:36:39.9400,3641,Broadway & W 25 St,40.74286877312112,-73.98918628692627,500,Broadway & W 51 St,40.76228826,-73.98336183,40436,Customer,1969,0
1759,2020-04-20 00:18:15.2290,2020-04-20 00:47:34.2360,453,W 22 St & 8 Ave,40.74475148,-73.99915362,497,E 17 St & Broadway,40.73704984,-73.99009296,40105,Subscriber,1990,1
862,2020-04-20 00:18:40.6740,2020-04-20 00:33:03.5820,238,Bank St & Washington St,40.7361967,-74.00859207,3255,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,33866,Subscriber,1977,2
1197,2020-04-20 00:18:57.3940,2020-04-20 00:38:54.7870,339,Avenue D & E 12 St,40.72580614,-73.97422494,339,Avenue D & E 12 St,40.72580614,-73.97422494,28646,Customer,1976,1
403,2020-04-20 00:19:18.6870,2020-04-20 00:26:02.1430,502,Henry St & Grand St,40.714211,-73.981095,349,Rivington St & Ridge St,40.71850211,-73.98329859,41283,Subscriber,1989,2
1561,2020-04-20 00:19:19.5380,2020-04-20 00:45:20.9360,532,S 5 Pl & S 5 St,40.710451,-73.960876,372,Franklin Ave & Myrtle Ave,40.694546087246025,-73.95801365375519,41620,Customer,1969,0
1509,2020-04-20 00:20:01.9520,2020-04-20 00:45:11.6940,532,S 5 Pl & S 5 St,40.710451,-73.960876,372,Franklin Ave & Myrtle Ave,40.694546087246025,-73.95801365375519,32283,Customer,1969,0
160,2020-04-20 00:20:08.5700,2020-04-20 00:22:49.0810,3056,Kosciuszko St & Nostrand Ave,40.69072549,-73.95133465,3057,Kosciuszko St & Tompkins Ave,40.69128258,-73.9452416,31219,Subscriber,1938,2
1471,2020-04-20 00:20:13.2030,2020-04-20 00:44:44.9320,3041,Kingston Ave & Herkimer St,40.67890679,-73.94142771,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,41360,Subscriber,1993,1
146,2020-04-20 00:20:23.1530,2020-04-20 00:22:49.8980,481,S 3 St & Bedford Ave,40.71260486,-73.96264403,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,34156,Subscriber,1986,2
581,2020-04-20 00:20:27.3000,2020-04-20 00:30:08.8310,3062,Myrtle Ave & Marcy Ave,40.69539817,-73.94954908,3838,Bushwick Ave & Harman St,40.69356,-73.92524,33780,Subscriber,1998,2
385,2020-04-20 00:20:49.0310,2020-04-20 00:27:14.1990,3553,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,3366,West End Ave & W 107 St,40.8021174,-73.9681805305,40446,Customer,1969,0
663,2020-04-20 00:20:52.7250,2020-04-20 00:31:56.2930,532,S 5 Pl & S 5 St,40.710451,-73.960876,3067,Broadway & Whipple St,40.7016657,-73.9437303,40273,Customer,1969,0
532,2020-04-20 00:21:06.4980,2020-04-20 00:29:59.3190,3773,Knickerbocker Ave & Thames St,40.70539,-73.92976,3840,Putnam Ave & Wyckoff Ave,40.69811,-73.90904,32237,Customer,1969,0
1053,2020-04-20 00:21:12.8460,2020-04-20 00:38:46.6700,350,Clinton St & Grand St,40.71559509,-73.9870295,532,S 5 Pl & S 5 St,40.710451,-73.960876,42847,Subscriber,2001,1
619,2020-04-20 00:21:57.1400,2020-04-20 00:32:16.5020,532,S 5 Pl & S 5 St,40.710451,-73.960876,3067,Broadway & Whipple St,40.7016657,-73.9437303,41143,Customer,1969,0
914,2020-04-20 00:22:31.4660,2020-04-20 00:37:45.5970,518,E 39 St & 2 Ave,40.74780373,-73.97344190000001,477,W 41 St & 8 Ave,40.75640548,-73.9900262,19045,Customer,1997,1
1540,2020-04-20 00:22:37.5970,2020-04-20 00:48:18.5100,3168,Central Park West & W 85 St,40.78472675,-73.96961715,3170,W 84 St & Columbus Ave,40.78499979,-73.97283406,43461,Subscriber,1993,1
389,2020-04-20 00:23:00.4500,2020-04-20 00:29:29.8500,3263,Cooper Square & Astor Pl,40.729514962249496,-73.99075269699097,339,Avenue D & E 12 St,40.72580614,-73.97422494,29356,Subscriber,1985,1
